Zeit [ms],Lux
250,nan
500,nan
750,nan
1000,nan
1250,0.08
1500,0.39
1750,0.38
2000,0.37
2250,0.35
2500,0.34
2750,0.33
3000,0.33
3251,0.34
3501,0.30
3751,0.29
4001,0.28
4251,0.27
4501,0.29
4751,0.28
5001,0.28
5251,0.24
5501,0.23
5751,0.22
6001,0.22
6251,0.24
6501,0.23
6751,0.22
7001,0.22
7251,0.21
7501,0.20
7751,0.20
8001,0.20
8251,0.20
8501,0.19
8751,0.18
9001,0.18
9251,0.17
9501,0.18
9751,0.17
10001,0.17
10251,0.16
10501,0.16
10751,0.15
11001,0.15
11251,0.15
11501,0.15
11751,0.14
12001,0.14
12251,0.14
12501,0.13
12751,0.13
13001,0.12
13251,0.12
13501,0.12
13751,0.12
14001,0.11
14251,0.11
14501,0.12
14751,0.11
15001,0.12
15251,0.11
15501,0.11
15752,0.10
16002,0.09
16252,0.08
16502,0.07
16752,0.08
17002,0.09
17252,0.10
17502,0.10
17752,0.09
18002,0.10
18252,0.09
18502,0.09
18752,0.09
19002,0.09
19252,0.09
19502,0.09
19752,0.09
20002,0.09
20252,0.08
20502,0.08
20752,0.08
21002,0.08
21252,0.08
21502,0.07
21752,0.08
22002,0.07
22252,0.08
22502,0.09
22752,0.07
23002,0.07
23252,0.07
23502,0.09
23752,0.08
24002,0.07
24252,0.08
24502,0.07
24752,0.08
25002,0.06
25252,0.08
25502,0.08
25752,0.08
26002,0.08
26252,0.08
26502,0.08
26752,0.06
27002,0.07
27252,0.07
27502,0.06
27752,0.05
28002,0.07
28252,0.05
28502,0.05
28752,0.05
29002,0.07
29252,0.07
29502,0.05
29752,0.05
30003,0.05
30253,0.06
30503,0.06
30753,0.05
31003,0.06
31253,0.05
31503,0.06
31753,0.06
32003,0.06
32253,0.04
32503,0.04
32753,0.04
33003,0.04
33253,0.04
33503,0.04
33753,0.06
34003,0.04
34253,0.04
34503,0.06
34753,0.04
35003,0.04
35253,0.04
35503,0.04
35753,0.04
36003,0.05
36253,0.03
36503,0.05
36753,0.03
37003,0.05
37253,0.05
37503,0.05
37753,0.05
38003,0.05
38253,0.05
38503,0.03
38753,0.05
39003,0.05
39253,0.05
39503,0.05
39753,0.05
40003,0.03
40253,0.04
40503,0.04
40753,0.03
41003,0.04
41253,0.03
41503,0.04
41753,0.03
42003,0.02
42253,0.04
42504,0.04
42754,0.04
43004,0.04
43254,0.02
43504,0.04
43754,0.02
44004,0.04
44254,0.04
44504,0.02
44754,0.02
45004,0.02
45254,0.04
45504,0.04
45754,0.02
46004,0.02
46254,0.04
46504,0.02
46754,0.02
47004,0.04
47254,0.02
47504,0.02
47754,0.02
48004,0.02
48254,0.03
48504,0.02
48754,0.02
49004,0.02
49254,0.02
49504,0.01
49754,0.03
50004,0.02
50254,0.03
50504,0.03
50754,0.01
51004,0.01
51254,0.03
51504,0.03
51754,0.01
52004,0.02
52254,0.03
52504,0.03
52754,0.01
53004,0.03
53254,0.03
53504,0.01
53754,0.03
54004,0.01
54254,0.01
54504,0.01
54754,0.03
55004,0.01
55254,0.03
55504,0.03
55754,0.01
56004,0.01
56254,0.01
56504,0.03
56755,0.03
57005,0.03
57255,0.02
57505,0.01
57755,0.02
58005,0.02
